Gene	M2a_lnL	M2a_np	M2a_omega	M2a_time	M2a_stops	M1a_lnL	M1a_np	M1a_omega	M1a_time	M1a_stops	lrt_M1a_vs_M2a
01_PEPC1__phosphoenolpyruvate_carboxylase_CAM	-7811.958650	21	0.629200	26.06	0	-7811.954257	19	0.627800	15.15	0	-0.008786
02_PPCK1__PEPC_kinase_CAM_regulator	-6772.480342	31	0.778400	114.22	0	-6795.897701	29	0.373200	52.55	0	46.834718
03_ALMT2__malate_transporter_CAM	-6679.587582	45	0.351100	291.41	0	-6708.225301	43	0.170000	194.00	0	57.275438
04_AQP_PIP1-4__aquaporin_water_channel	-5377.171949	45	0.000000	95.03	0	-5375.371941	43	0.000000	73.06	0	-3.600016
05_OSCA4__hyperosmolality_calcium_channel	-9359.442751	45	0.210900	303.17	0	-9405.557279	43	0.090100	221.80	0	92.229056
06_P5CS__proline_synthesis_drought_stress	-5389.862337	27	0.556900	48.19	0	-5396.022706	25	0.340300	21.03	0	12.320738
07_RBCS6__RuBisCO_small_subunit	-2561.892903	43	1.507300	173.58	0	-2563.075868	41	1.000000	89.17	0	2.365930
08_RBCL__RuBisCO_large_chain	-4420.601270	45	59.495800	120.55	0	-4421.217799	43	1.000000	94.73	0	1.233058
09_PSBD__photosystem_II_D1_reaction_center	-3253.006834	43	0.729400	78.06	0	-3253.006816	41	0.065300	61.66	0	-0.000036
10_CERK1__chitin_receptor_kinase_immunity	-4607.152217	27	1.670300	58.55	0	-4633.178073	25	0.495400	91.20	0	52.051712
11_CRK5__cysteine_rich_receptor_kinase	-9116.475560	31	0.434200	90.84	0	-9160.442786	29	0.198600	34.78	0	87.934452
12_GSTU7__glutathione_S_transferase_defense	-6520.278549	43	2.731500	254.76	0	-6527.644859	41	0.861000	58.42	0	14.732620
13_VLS__valencene_synthase_terpenoids	-2852.580399	37	0.239000	54.37	0	-2852.586864	35	0.250700	18.71	0	0.012930
14_CHS__chalcone_synthase_flavonoids	-1679.663558	27	1.528500	76.15	0	-1682.701465	25	0.533900	20.37	0	6.075814
15_GCR1__G_protein_coupled_receptor	-3574.245965	43	0.174700	154.76	0	-3575.479103	41	0.139600	83.46	0	2.466276
16_ABP19a__auxin_binding_protein	-1732.163680	21	0.568000	27.08	0	-1732.163681	19	0.568000	9.43	0	0.000002
17_GLR2.5__glutamate_receptor_calcium	-5300.032541	41	1.084900	154.44	0	-5351.711085	39	0.257200	70.90	0	103.357088
18_FAR__fatty_acyl_reductase_wax_cuticle	-1769.775789	45	1.544400	198.84	0	-1781.111932	43	0.181600	66.51	0	22.672286
19_CESA3__cellulose_synthase	-7192.087472	45	0.000000	187.79	0	-7192.087787	43	0.000000	204.96	0	0.000630
20_DMC1__meiotic_recombination	-6129.481784	45	0.117800	273.52	0	-6135.651394	43	0.073600	90.58	0	12.339220
21_CYT_B6F__cytochrome_b6f_iron_sulfur_Rieske	-4695.700592	23	0.540100	26.95	0	-4700.763344	21	0.375400	14.05	0	10.125504
22_CYTF__cytochrome_f_electron_donor_to_PSI	-1483.597377	45	0.127400	95.18	0	-1483.597401	43	0.000000	20.53	0	0.000048
23_PRX2F__peroxiredoxin_mitochondrial_ROS	-1039.865557	33	0.455600	19.05	0	-1039.865560	31	0.077900	12.00	0	0.000006
24_FRO7__ferric_reduction_oxidase_iron_rocky_substrate	-6470.537383	19	3.796000	28.78	0	-6486.774157	17	1.000000	8.03	0	32.473548
25_PHOT2__phototropin2_chloroplast_avoidance_high_light	-2477.143907	29	0.964900	36.57	0	-2493.618375	27	0.334000	20.53	0	32.948936
